job_title,location,company_name,job_desc
Senior Data Scientist,"Louisville, KY",Humana,"Description
The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Senior Data Scientist work assignments involve moderately compl"
Staff Data Scientist,"San Diego, CA 92112",Intuit,Intuit is hiring a Staff Data scientist to focus on our Consumer Tax Group. We are looking for exceptional talent that can improve the bottom lines of our TurboTax offerings.
Jr. Data Scientist,"New York, NY",Iovate Health Sciences International Inc.,"If you are a highly motivated individual with a passion for health & wellness along with a commitment to excellence, we want YOU! Iovate is the maker of the MuscleTech, Six Star and Hydroxycut family of products and the leader in the active nutrition, wei"
Sr. Data Scientist/Machine Learning Engineer,"Miami, FL 33138 (Upper Eastside area)",aikiu,"This role is key to accelerating the growth of aikiú, since its main mission is focused on building a reputation as the main provider of – audience-based business intelligence - in the market.The Data Scientist position is of utmost relevance to aikiú"
Data Scientist Intern,"Beverly Hills, CA",NBCUniversal,"You love working with structured/unstructured data and can leverage data querying tools like SQL to extract information – both granular and high-level statistics, across cloud computing platforms. This information will help answer questions around our T"
Data Scientist - New College Grad,"Sunnyvale, CA 94085",Proofpoint,"It's fun to work in a company where people truly BELIEVE in what they're doing!

We're committed to bringing passion and customer focus to the business.

The Role
Would you like to apply cutting edge data science techniques to help protect the world again"
Junior Data Scientist (Entry Level),"Plano, TX",Sigmoid,"About Sigmoid Analytics*Sigmoid is data solutions consulting company focused on building data engineering & data science solutions for large technology, financial services & retail CPG companies.Having started in 2013 by three IIT Kharagpur Alumni, Rahul,"
Data Science Intern,"Los Angeles, CA 90013 (Central City East area)",Dolphin,"What We DoDolphin (withdolphin.com) is a free resource that helps you:Find high-impact jobs and internships solving pressing issues such as climate change, healthcare, education, space exploration and more.Stand out to recruiters with Q&As that our in-hou"
2020 Fulltime: Data Scientist - Technology,"Plano, TX 75024",Walmart,"Position Summary...
What you'll do...
Develops analytical models to drive analytics insights by gathering data from internal and external sources; evaluating data usability based on project goals; synthesizing data into large datasets to support project g"
Data Scientist (All Levels) - Santa Clara,"Santa Clara, CA 95050",LeanTaaS,"Help build technology that saves lives!

LeanTaaS is a fast-growing healthcare technology company that uses sophisticated optimization, simulation, and machine learning to make healthcare providers more efficient.
Our technology opens capacity at many of "
Data Scientist - HBO Max,"Burbank, CA",HBO Max,"Opportunity Overview
HBO Max is the future of entertainment and storytelling. WarnerMedia’s new streaming entertainment offering, HBO Max is the culmination of some of the most innovative new technology and greatest creative talent in the industry. Anch"
Data Scientist Intern (Paid Internship),"Calabasas, CA 91301",The Cheesecake Factory,"Position Overview:
You may know us as a company with great food…You may also know us from being named to the Fortune Magazine’s “100 Best Companies to Work For®”- seven years in a row! What you may not know is how much fun Cheesecake Internships "
Data Scientist-Entry Level,"San Diego, CA",Codersdata,Mining and analyzing client data to identify critical business insightsProactively developing new metrics and studies to quantify the value of different aspects of contentDesign multi-factor experiments and validate hypotheses.Translating analytic insight
Data Scientist,"Los Angeles, CA",UCLA,"The California Policy Lab creates data-driven insights for the public good. Our mission is to partner with California's state and local governments to generate scientific evidence that solves California's most urgent problems, including homelessness, pove"
Data Scientist,"Charlotte, NC","PartnerRe Holdings Europe Limited, Dublin","Data ScientistThe role holder, based in North America, will join the global analytics team within Life & Health, and should make a significant contribution to the enhancement of PartnerRe Life & Health’s value proposition. They will be responsible for p"
"Senior Data Scientist, Analytics Platform as a Service","Boston, MA 02109 (Downtown area)",Humana,"Description
The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Senior Data Scientist work assignments involve moderately compl"
OCR Data Scientist,"Boston, MA 02199 (Back Bay area)",iQuartic,"ResponsibilitiesThe Senior Data Science Engineer will work closely with the software engineering team and domain experts at IQuartic, leverage OCR and machine learning techniques to develop digitization software for medical record scans.You will bring the"
Senior Data Scientist,"Fort Lee, NJ 07024",TRANZACT,"How the Position WorksThe Data Scientist reports to the VP of Data Science and Analytics and is responsible for gathering data, conducting analysis, building predictive algorithms and communicating findings to drive profitable growth and performance acros"
Data Scientist,"Boston, MA 02108 (Downtown area)",SimpliSafe,"SimpliSafe is seeking a self-driven, curious data scientist to join our Ecommerce team. In this role, you'll be responsible for mining, analyzing, and modeling large structured and unstructured datasets to solve business questions and forecast key metrics"
Associate Data Scientist,"Glendale, CA 91201 (Grand Central area)",Disney Television Animation,The Walt Disney Company is a world-class entertainment and technology leader. Walt’s passion was to continuously envision new ways to move audiences around the world—a passion that remains our touchstone in an enterprise that stretches from: animation
Data Scientist,"Los Angeles, CA",Nexstar Broadcasting,"It's fun to work in a company where people truly believe in what they are doing!
JOB SUMMARY:
The Data Scientist will lead efforts to build better solutions and make more informed decisions using data. This position reports to the Chief Data Science Offic"
Data Scientist,"San Diego, CA",megha.s@jamyinteractives.com,"Required Experience and QualificationsMS/PhD in computer science, statistics, or operations research or related technical disciplineExtensive experience in a statistical and/or data science roleDeep knowledge of machine learning, statistics, optimization "
Data Scientist,"Redwood City, CA",Spry Health,"Spry Health’s mission is to build the world’s largest physiological dataset to map human health, understand disease, and create new medical knowledge. We are innovating in the field of physiological signal processing and are looking for an experienced"
Data Scientist,"Chicago, IL 60607 (West Loop Gate area)",WALGREENS,"Job Summary

Applies advanced data analysis tools and techniques to provide insights and actionable recommendations for the business. Utilizes complex statistical modeling to make predictions about future outcomes and in multiple scenarios. May explain fi"
